# year, Ptot_c_result_anom
2029.8712328767124,-10.59196
2029.9561643835616,-6.793105
2030.041095890411,-3.49747
2030.1205479452055,-2.2977078
2030.2027397260274,-1.3806627
2030.2849315068493,-0.11296129
2030.3698630136987,-0.27191305
2030.4520547945206,-4.224377
2030.5369863013698,-7.0561194
2030.6219178082192,-7.142956
2030.704109589041,-7.0327015
2030.7890410958903,-12.480093
2030.8712328767124,-11.751066
2030.9561643835616,-9.157837
2031.041095890411,-4.6462374
2031.1205479452055,-2.9118416
2031.2027397260274,-1.4169099
2031.2849315068493,0.061131716
2031.3698630136987,0.66079473
2031.4520547945206,-2.660111
2031.5369863013698,-4.98617
2031.6219178082192,-5.810812
2031.704109589041,-5.350075
2031.7890410958903,-9.80057
2031.8712328767124,-11.684645
2031.9561643835616,-8.321966
2032.0409836065573,-3.8982992
2032.122950819672,-2.2702308
2032.204918032787,-1.2396393
2032.2868852459017,-0.17360449
2032.3715846994535,-0.4195757
2032.4535519125684,-3.3400064
2032.5382513661202,-3.230196
2032.622950819672,-4.2266006
2032.704918032787,-8.173153
2032.7896174863388,-13.640131
2032.8715846994535,-15.565117
2032.9562841530055,-10.310602
2033.041095890411,-5.319208
2033.1205479452055,-3.226772
2033.2027397260274,-1.1084156
2033.2849315068493,0.7905874
2033.3698630136987,0.784883
2033.4520547945206,-2.83749
2033.5369863013698,-6.894956
2033.6219178082192,-10.802994
2033.704109589041,-11.035706
2033.7890410958903,-11.901623
2033.8712328767124,-12.843271
2033.9561643835616,-9.210749
2034.041095890411,-5.094587
2034.1205479452055,-3.2212303
2034.2027397260274,-1.4218037
2034.2849315068493,-0.014229059
2034.3698630136987,0.35274887
2034.4520547945206,-2.9032288
2034.5369863013698,-5.888771
2034.6219178082192,-10.601677
2034.704109589041,-15.520003
2034.7890410958903,-16.468216
2034.8712328767124,-10.400167
2034.9561643835616,-6.7224245
2035.041095890411,-3.0095525
2035.1205479452055,-1.788888
2035.2027397260274,-0.9441967
2035.2849315068493,-0.2956319
2035.3698630136987,0.20220137
2035.4520547945206,-2.173944
2035.5369863013698,-4.809705
2035.6219178082192,-4.882946
2035.704109589041,-2.5013256
2035.7890410958903,-11.471933
2035.8712328767124,-13.179284
2035.9561643835616,-9.495347
2036.0409836065573,-5.6201954
2036.122950819672,-3.749293
2036.204918032787,-1.9717011
2036.2868852459017,0.28479075
2036.3715846994535,0.48887014
2036.4535519125684,-3.7699585
2036.5382513661202,-7.8156137
2036.622950819672,-9.893924
2036.704918032787,-14.399742
2036.7896174863388,-12.854998
2036.8715846994535,-10.861192
2036.9562841530055,-8.875521
2037.041095890411,-4.9733706
2037.1205479452055,-3.208432
2037.2027397260274,-1.874649
2037.2849315068493,0.34877205
2037.3698630136987,0.5751581
2037.4520547945206,-3.9937387
2037.5369863013698,-7.003589
