# year, O3_TA_anom
1983.4712328767123,16.4917
1983.4739726027397,16.729492
1983.4767123287672,16.841064
1983.4794520547946,17.193848
1983.482191780822,17.522217
1983.4849315068493,18.004639
1983.4876712328767,18.517334
1983.490410958904,18.762451
1983.4931506849316,19.006348
1983.495890410959,19.188965
1983.4986301369863,19.137207
1983.5013698630137,19.465576
1983.504109589041,19.703857
1983.5068493150684,19.800781
1983.509589041096,19.924316
1983.5123287671233,20.189697
1983.5150684931507,20.801758
1983.517808219178,21.182129
1983.5205479452054,21.04248
1983.5232876712328,21.224365
1983.5260273972603,21.647705
1983.5287671232877,21.93164
1983.531506849315,21.966553
1983.5342465753424,21.875
1983.5369863013698,21.892822
1983.5397260273974,22.155518
1983.5424657534247,22.12207
1983.545205479452,22.114746
1983.5479452054794,22.266113
1983.5506849315068,22.3396
1983.5534246575342,22.364746
1983.5561643835617,22.287842
1983.558904109589,22.23291
1983.5616438356165,22.427979
1983.5643835616438,22.422363
1983.5671232876712,22.447266
1983.5698630136985,22.53711
1983.572602739726,22.600342
1983.5753424657535,22.565186
1983.5780821917808,22.627686
1983.5808219178082,22.58081
1983.5835616438355,22.730957
1983.5863013698631,22.876709
1983.5890410958905,22.766357
1983.5917808219178,22.645752
1983.5945205479452,22.601318
1983.5972602739726,22.812012
1983.6,22.706299
1983.6027397260275,22.29541
1983.6054794520549,22.245117
1983.6082191780822,22.375488
1983.6109589041096,22.236084
1983.613698630137,21.97998
1983.6164383561643,21.994629
1983.6191780821919,22.131348
1983.6219178082192,22.095215
1983.6246575342466,22.073486
1983.627397260274,21.948975
1983.6301369863013,21.919678
1983.6328767123289,21.916016
1983.6356164383562,21.813232
1983.6383561643836,21.75879
1983.641095890411,21.829102
1983.6438356164383,21.906494
1983.6465753424657,21.76538
1983.6493150684933,21.553223
1983.6520547945206,21.32788
1983.654794520548,21.011963
1983.6575342465753,20.856201
1983.6602739726027,20.960938
1983.66301369863,20.996582
1983.6657534246576,20.921875
1983.668493150685,20.90625
1983.6712328767123,20.854492
1983.6739726027397,20.857178
1983.676712328767,20.849365
1983.6794520547944,20.481201
1983.682191780822,20.30835
1983.6849315068494,20.291992
1983.6876712328767,19.927734
1983.690410958904,19.6792
1983.6931506849314,19.587402
1983.695890410959,19.381104
1983.6986301369864,19.187012
1983.7013698630137,19.2146
1983.704109589041,19.293701
1983.7068493150684,19.263184
1983.7095890410958,19.116943
1983.7123287671234,19.0083
1983.7150684931507,19.132812
1983.717808219178,19.252197
1983.7205479452055,19.303223
1983.7232876712328,19.223877
1983.7260273972602,19.349854
1983.7287671232878,19.416504
1983.731506849315,19.250244
1983.7342465753425,19.213135
1983.7369863013698,19.19043
1983.7397260273972,18.9458
1983.7424657534248,18.593994
1983.7452054794521,18.445557
1983.7479452054795,19.434814
1983.7506849315068,19.118164
1983.7534246575342,19.105225
1983.7561643835616,19.334229
1983.7589041095891,19.19043
1983.7616438356165,19.104248
1983.7643835616439,19.279053
1983.7671232876712,19.05835
1983.7698630136986,18.645508
1983.772602739726,18.564697
1983.7753424657535,18.181152
1983.7780821917809,17.4375
1983.7808219178082,17.219238
1983.7835616438356,17.409912
1983.786301369863,17.500977
1983.7890410958903,17.432129
1983.7917808219179,17.293701
1983.7945205479452,17.072754
1983.7972602739726,16.904297
1983.8,16.886719
1983.8027397260273,16.855957
1983.805479452055,16.723633
1983.8082191780823,16.870605
1983.8109589041096,17.204834
1983.813698630137,17.421875
1983.8164383561643,17.371826
1983.8191780821917,17.311035
1983.8219178082193,17.301758
1983.8246575342466,17.306885
1983.827397260274,17.290283
1983.8301369863013,17.420654
1983.8328767123287,17.58789
1983.835616438356,17.536133
1983.8383561643836,17.26709
1983.841095890411,17.107666
1983.8438356164384,17.43335
1983.8465753424657,17.962402
1983.849315068493,18.09082
1983.8520547945207,17.85913
1983.854794520548,17.972168
1983.8575342465754,18.280518
1983.8602739726027,18.514648
1983.86301369863,18.461182
1983.8657534246574,18.246582
1983.868493150685,18.717285
1983.8712328767124,19.249512
1983.8739726027397,19.244385
1983.876712328767,18.930908
1983.8794520547945,19.016113
1983.8821917808218,19.387207
1983.8849315068494,19.279053
1983.8876712328768,19.003174
1983.890410958904,19.380127
1983.8931506849315,19.607666
1983.8958904109588,19.805664
1983.8986301369864,20.270752
1983.9013698630138,20.329102
1983.9041095890411,20.094238
1983.9068493150685,19.940674
1983.9095890410958,20.224854
1983.9123287671232,20.334473
1983.9150684931508,20.843994
1983.9178082191781,20.868408
1983.9205479452055,20.35254
1983.9232876712329,20.277832
1983.9260273972602,20.300537
1983.9287671232876,19.810303
1983.9315068493152,19.800781
1983.9342465753425,20.51294
1983.9369863013699,20.033203
1983.9397260273972,19.394531
1983.9424657534246,19.747314
1983.945205479452,20.081299
1983.9479452054795,20.476318
1983.9506849315069,19.244873
1983.9534246575342,19.35962
1983.9561643835616,19.14038
1983.958904109589,18.631592
1983.9616438356165,18.185791
1983.964383561644,18.464111
1983.9671232876713,18.389648
1983.9698630136986,17.084717
1983.972602739726,17.692627
1983.9753424657533,18.67041
1983.978082191781,19.488037
1983.9808219178083,18.92163
1983.9835616438356,18.710693
1983.986301369863,18.958008
1983.9890410958903,18.759277
1983.9917808219177,18.700195
1983.9945205479453,18.74292
1983.9972602739726,18.822021
1984.0,18.668945
1984.0027322404371,8.963379
1984.0054644808743,10.211914
1984.0081967213114,16.637451
1984.0109289617487,17.082031
1984.0136612021859,16.305664
1984.016393442623,16.564697
1984.01912568306,17.138428
1984.0218579234972,16.67163
1984.0245901639344,15.73291
1984.0273224043715,15.47876
1984.0300546448088,15.651367
1984.032786885246,15.707031
1984.035519125683,15.479004
1984.0382513661202,15.397461
1984.0409836065573,14.501709
1984.0437158469945,14.018311
1984.0464480874316,13.133545
1984.049180327869,12.776855
1984.051912568306,12.419189
1984.0546448087432,12.156738
1984.0573770491803,12.218506
1984.0601092896175,11.966553
1984.0628415300546,12.064697
1984.0655737704917,12.287598
1984.068306010929,12.000732
1984.0710382513662,12.27832
1984.0737704918033,12.655029
1984.0765027322404,12.438721
1984.0792349726776,11.594971
1984.0819672131147,11.221191
1984.0846994535518,11.789795
1984.0874316939892,11.714355
1984.0901639344263,11.362061
1984.0928961748634,11.22876
1984.0956284153006,9.345703
1984.0983606557377,9.118164
1984.1010928961748,11.120361
1984.103825136612,5.6586914
1984.1065573770493,3.409668
1984.1092896174864,8.187988
1984.1120218579235,9.121094
1984.1147540983607,7.3449707
1984.1174863387978,6.9560547
1984.120218579235,7.3581543
1984.122950819672,8.107178
1984.1256830601094,7.7841797
1984.1284153005465,8.115234
1984.1311475409836,8.110107
1984.1338797814208,8.29834
1984.136612021858,8.759033
1984.139344262295,8.679443
1984.1420765027322,6.7382812
1984.1448087431695,8.197754
1984.1475409836066,5.6411133
1984.1502732240438,4.3483887
1984.1530054644809,5.760742
1984.155737704918,5.205078
1984.1584699453551,-0.873291
1984.1612021857923,-3.3498535
1984.1639344262296,2.4516602
1984.1666666666667,4.004883
1984.1693989071039,5.437256
1984.172131147541,4.421875
1984.1748633879781,2.5114746
1984.1775956284152,2.7805176
1984.1803278688524,-1.3469238
1984.1830601092897,-0.99438477
1984.1857923497269,3.0737305
1984.188524590164,1.7526855
1984.191256830601,-0.923584
1984.1939890710382,-1.7382812
1984.1967213114754,-5.2001953
1984.1994535519125,-0.8029785
1984.2021857923498,1.7568359
1984.204918032787,-0.72216797
1984.207650273224,-1.0080566
1984.2103825136612,0.47094727
1984.2131147540983,1.1105957
1984.2158469945355,-4.8464355
1984.2185792349726,-8.482666
1984.22131147541,-1.8757324
1984.224043715847,-0.10913086
1984.2267759562842,0.65405273
1984.2295081967213,-0.20410156
1984.2322404371585,-0.38964844
1984.2349726775956,-1.142334
1984.2377049180327,-1.7277832
1984.24043715847,-1.9355469
1984.2431693989072,-3.2055664
1984.2459016393443,-5.930664
1984.2486338797814,-4.6191406
1984.2513661202186,-1.770752
1984.2540983606557,-1.958252
1984.2568306010928,-2.2338867
1984.25956284153,-2.2912598
1984.2622950819673,-1.4072266
1984.2650273224044,-2.4191895
1984.2677595628415,-10.64917
1984.2704918032787,-7.0134277
1984.2732240437158,-4.453369
1984.275956284153,-9.8828125
1984.27868852459,-7.3571777
1984.2814207650274,-2.9423828
1984.2841530054645,-3.9985352
1984.2868852459017,-3.4382324
1984.2896174863388,-1.6555176
1984.292349726776,-4.426758
1984.295081967213,-5.5351562
1984.2978142076502,-4.2749023
1984.3005464480875,-5.5808105
1984.3032786885246,-5.1967773
1984.3060109289618,-4.630371
1984.308743169399,-5.88208
1984.311475409836,-13.386963
1984.3142076502731,-10.810547
1984.3169398907103,-6.239746
1984.3196721311476,-6.9016113
1984.3224043715848,-8.542725
1984.3251366120219,-9.141113
1984.327868852459,-10.158691
1984.3306010928961,-10.660156
1984.3333333333333,-12.436768
1984.3360655737704,-10.155029
1984.3387978142077,-11.455566
1984.3415300546449,-14.332764
1984.344262295082,-14.403564
1984.3469945355191,-13.937256
1984.3497267759562,-16.670898
1984.3524590163934,-17.021973
1984.3551912568305,-17.707275
1984.3579234972678,-19.397217
1984.360655737705,-16.324707
1984.363387978142,-14.390625
1984.3661202185792,-12.0876465
1984.3688524590164,-12.302002
1984.3715846994535,-12.435547
1984.3743169398906,-13.281738
1984.377049180328,-13.3828125
1984.379781420765,-13.14917
1984.3825136612022,-11.873779
1984.3852459016393,-10.9904785
1984.3879781420765,-9.637695
1984.3907103825136,-8.139648
1984.3934426229507,-6.324707
1984.396174863388,-6.784668
1984.3989071038252,-6.3217773
1984.4016393442623,-5.9606934
1984.4043715846994,-5.8842773
1984.4071038251366,-4.621582
1984.4098360655737,-4.635742
1984.4125683060108,-4.4033203
1984.4153005464482,-4.395752
1984.4180327868853,-4.5947266
1984.4207650273224,-4.9328613
1984.4234972677596,-5.381836
1984.4262295081967,-6.30542
1984.4289617486338,-6.77417
1984.431693989071,-7.3483887
1984.4344262295083,-6.947754
1984.4371584699454,-7.2456055
1984.4398907103825,-8.135986
1984.4426229508197,-8.104492
1984.4453551912568,-8.042969
1984.448087431694,-9.167236
1984.450819672131,-11.945068
1984.4535519125684,-11.159424
1984.4562841530055,-11.63916
1984.4590163934427,-8.9021
1984.4617486338798,-7.8481445
1984.464480874317,-7.4609375
1984.467213114754,-6.8669434
1984.4699453551912,-6.3947754
