# year, Ztot_c_result_anom
2027.041095890411,-3.7905452
2027.1205479452055,-2.50502
2027.2027397260274,-1.4247768
2027.2849315068493,-0.8843851
2027.3698630136987,-0.9371878
2027.4520547945206,-1.7934968
2027.5369863013698,-3.7286158
2027.6219178082192,-7.4892373
2027.704109589041,-8.190798
2027.7890410958903,-5.860568
2027.8712328767124,-7.5128202
2027.9561643835616,-6.318528
2028.0409836065573,-3.9992387
2028.122950819672,-2.6147537
2028.204918032787,-1.4817024
2028.2868852459017,-0.8342726
2028.3715846994535,-0.85209554
2028.4535519125684,-1.7015831
2028.5382513661202,-3.0691698
2028.622950819672,-5.8492255
2028.704918032787,-5.533396
2028.7896174863388,-4.4548855
2028.8715846994535,-6.826515
2028.9562841530055,-6.287941
2029.041095890411,-4.5688257
2029.1205479452055,-3.0813093
2029.2027397260274,-1.7162607
2029.2849315068493,-0.96027935
2029.3698630136987,-0.9005151
2029.4520547945206,-1.6353433
2029.5369863013698,-3.040559
2029.6219178082192,-5.7570744
2029.704109589041,-6.2294607
2029.7890410958903,-7.652794
2029.8712328767124,-7.844537
2029.9561643835616,-5.222596
2030.041095890411,-3.0980148
2030.1205479452055,-2.0493608
2030.2027397260274,-1.1851996
2030.2849315068493,-0.74924403
2030.3698630136987,-0.7641653
2030.4520547945206,-1.7875867
2030.5369863013698,-3.674398
2030.6219178082192,-5.7178125
2030.704109589041,-5.2062664
2030.7890410958903,-8.357656
2030.8712328767124,-8.035884
2030.9561643835616,-6.734291
2031.041095890411,-4.2809095
2031.1205479452055,-2.8439689
2031.2027397260274,-1.6642863
2031.2849315068493,-0.9668218
2031.3698630136987,-0.97850114
2031.4520547945206,-1.901629
2031.5369863013698,-3.5590522
2031.6219178082192,-5.4399834
2031.704109589041,-5.47429
2031.7890410958903,-7.134632
2031.8712328767124,-8.43561
2031.9561643835616,-6.620793
2032.0409836065573,-3.9409451
2032.122950819672,-2.1696398
2032.204918032787,-1.1182654
2032.2868852459017,-0.48392493
2032.3715846994535,-0.30961895
2032.4535519125684,-0.98700523
2032.5382513661202,-1.3548491
2032.622950819672,-3.6363168
2032.704918032787,-5.911439
2032.7896174863388,-8.026335
2032.8715846994535,-10.223722
2032.9562841530055,-7.885275
2033.041095890411,-4.96124
2033.1205479452055,-3.2587008
2033.2027397260274,-1.8483615
2033.2849315068493,-1.0557119
2033.3698630136987,-0.9628917
2033.4520547945206,-1.923668
2033.5369863013698,-4.065034
2033.6219178082192,-7.5879297
2033.704109589041,-8.300831
2033.7890410958903,-8.284092
2033.8712328767124,-8.956571
2033.9561643835616,-7.0411997
2034.041095890411,-4.524948
2034.1205479452055,-3.2641664
2034.2027397260274,-1.9164203
2034.2849315068493,-1.0740924
2034.3698630136987,-1.0225369
2034.4520547945206,-2.0043573
2034.5369863013698,-3.7136457
2034.6219178082192,-7.035644
2034.704109589041,-10.583933
2034.7890410958903,-12.293676
2034.8712328767124,-9.438734
2034.9561643835616,-5.981979
2035.041095890411,-3.280226
2035.1205479452055,-2.1228833
2035.2027397260274,-1.1005394
2035.2849315068493,-0.69193494
2035.3698630136987,-0.7102472
2035.4520547945206,-0.8500999
2035.5369863013698,-2.4852376
2035.6219178082192,-4.1241636
2035.704109589041,-3.2245436
2035.7890410958903,-6.1767416
2035.8712328767124,-8.390248
2035.9561643835616,-6.9670277
2036.0409836065573,-4.8130484
2036.122950819672,-3.3193064
2036.204918032787,-2.0128202
2036.2868852459017,-1.1252028
2036.3715846994535,-0.9951356
2036.4535519125684,-2.1743097
2036.5382513661202,-4.243117
2036.622950819672,-5.957888
2036.704918032787,-9.287291
2036.7896174863388,-10.0329685
2036.8715846994535,-7.4345646
2036.9562841530055,-7.075586
2037.041095890411,-4.7938585
2037.1205479452055,-3.0970845
2037.2027397260274,-1.8529512
2037.2849315068493,-1.0166498
2037.3698630136987,-0.6157066
2037.4520547945206,-1.6111526
2037.5369863013698,-3.4448478
2037.6219178082192,-3.8473177
2037.704109589041,-3.1899786
2037.7890410958903,-4.941408
2037.8712328767124,-6.3194323
2037.9561643835616,-6.0786386
2038.041095890411,-4.2914696
2038.1205479452055,-2.8694713
2038.2027397260274,-1.6686783
2038.2849315068493,-0.9821623
2038.3698630136987,-0.93660104
2038.4520547945206,-1.8762313
2038.5369863013698,-2.7020707
2038.6219178082192,-3.423993
2038.704109589041,-4.20977
2038.7890410958903,-6.7325373
2038.8712328767124,-6.509384
2038.9561643835616,-5.344105
2039.041095890411,-3.6182172
2039.1205479452055,-2.5019226
2039.2027397260274,-1.6033132
2039.2849315068493,-0.9737279
2039.3698630136987,-0.95507896
2039.4520547945206,-2.0563636
2039.5369863013698,-4.1852965
2039.6219178082192,-7.773484
2039.704109589041,-10.482568
2039.7890410958903,-12.804741
2039.8712328767124,-12.168596
2039.9561643835616,-8.72204
2040.0409836065573,-5.3837414
2040.122950819672,-3.3812046
2040.204918032787,-2.0053058
2040.2868852459017,-1.1282581
2040.3715846994535,-0.97244626
2040.4535519125684,-1.9512949
2040.5382513661202,-3.363349
2040.622950819672,-4.8638697
2040.704918032787,-8.372509
2040.7896174863388,-10.571318
2040.8715846994535,-10.59297
2040.9562841530055,-7.973585
2041.041095890411,-5.353666
2041.1205479452055,-3.540475
2041.2027397260274,-2.015016
2041.2849315068493,-0.9520924
2041.3698630136987,-0.8036891
2041.4520547945206,-1.7579064
2041.5369863013698,-3.862308
2041.6219178082192,-6.888302
2041.704109589041,-8.184352
2041.7890410958903,-9.59728
2041.8712328767124,-9.382763
2041.9561643835616,-7.3139534
2042.041095890411,-4.4390435
2042.1205479452055,-2.9883616
2042.2027397260274,-1.7219033
2042.2849315068493,-0.9072238
2042.3698630136987,-0.57494885
2042.4520547945206,-1.4107783
2042.5369863013698,-3.4159012
2042.6219178082192,-6.1270294
2042.704109589041,-8.198946
2042.7890410958903,-7.0093117
2042.8712328767124,-7.629798
2042.9561643835616,-6.449239
2043.041095890411,-4.581565
2043.1205479452055,-3.021524
2043.2027397260274,-1.7177308
2043.2849315068493,-0.99063814
2043.3698630136987,-0.9679109
2043.4520547945206,-1.9648945
2043.5369863013698,-3.9139256
2043.6219178082192,-6.601542
2043.704109589041,-9.955288
2043.7890410958903,-9.863031
2043.8712328767124,-4.9610577
2043.9561643835616,-4.496208
2044.0409836065573,-2.8724985
2044.122950819672,-1.9213088
2044.204918032787,-1.1101544
2044.2868852459017,-0.6757666
2044.3715846994535,-0.8301586
2044.4535519125684,-1.767082
2044.5382513661202,-3.781619
2044.622950819672,-6.2048903
2044.704918032787,-6.047004
2044.7896174863388,-7.807254
2044.8715846994535,-7.18217
2044.9562841530055,-4.9439263
