# year, O3_TA
1983.695890410959,2461.374
1983.6986301369864,2461.4348
1983.7013698630137,2461.7341
1983.704109589041,2462.0732
1983.7068493150684,2462.3093
1983.7095890410958,2462.3904
1983.7123287671234,2462.5366
1983.7150684931507,2462.8953
1983.717808219178,2463.2568
1983.7205479452055,2463.5557
1983.7232876712328,2463.706
1983.7260273972602,2464.0781
1983.7287671232878,2464.442
1983.731506849315,2464.5442
1983.7342465753425,2464.7078
1983.7369863013698,2464.9314
1983.7397260273972,2464.9246
1983.7424657534248,2464.7837
1983.7452054794521,2464.8228
1983.7479452054795,2464.9795
1983.7506849315068,2464.8665
1983.7534246575342,2465.022
1983.7561643835616,2465.4229
1983.7589041095891,2465.49
1983.7616438356165,2465.66
1983.7643835616439,2466.0593
1983.7671232876712,2465.98
1983.7698630136986,2465.7385
1983.772602739726,2465.8887
1983.7753424657535,2465.6543
1983.7780821917809,2465.0498
1983.7808219178082,2465.0054
1983.7835616438356,2465.3655
1983.786301369863,2465.677
1983.7890410958903,2465.8567
1983.7917808219179,2465.8694
1983.7945205479452,2465.8518
1983.7972602739726,2465.8713
1983.8,2465.9856
1983.8027397260273,2466.1235
1983.805479452055,2466.2302
1983.8082191780823,2466.5903
1983.8109589041096,2467.1897
1983.813698630137,2467.6516
1983.8164383561643,2467.7854
1983.8191780821917,2467.9216
1983.8219178082193,2468.1057
1983.8246575342466,2468.2903
1983.827397260274,2468.4258
1983.8301369863013,2468.631
1983.8328767123287,2468.9194
1983.835616438356,2469.026
1983.8383561643836,2468.8525
1983.841095890411,2468.6692
1983.8438356164384,2468.9766
1983.8465753424657,2469.5107
1983.849315068493,2469.7288
1983.8520547945207,2469.494
1983.854794520548,2469.3696
1983.8575342465754,2469.5654
1983.8602739726027,2469.8025
1983.86301369863,2469.7795
1983.8657534246574,2469.4897
1983.868493150685,2469.8545
1983.8712328767124,2470.2642
1983.8739726027397,2470.0598
1983.876712328767,2469.7144
1983.8794520547945,2469.8706
1983.8821917808218,2470.2249
1983.8849315068494,2470.0679
1983.8876712328768,2469.6401
1983.890410958904,2469.7566
1983.8931506849315,2469.904
1983.8958904109588,2469.9993
1983.8986301369864,2470.2444
1983.9013698630138,2470.0664
1983.9041095890411,2469.8135
1983.9068493150685,2469.6514
1983.9095890410958,2469.388
1983.9123287671232,2469.278
1983.9150684931508,2469.5676
1983.9178082191781,2469.3777
1983.9205479452055,2468.7046
1983.9232876712329,2467.8926
1983.9260273972602,2467.174
1983.9287671232876,2466.6604
1983.9315068493152,2466.5
1983.9342465753425,2466.2964
1983.9369863013699,2465.151
1983.9397260273972,2464.1768
1983.9424657534246,2464.1577
1983.945205479452,2464.2935
1983.9479452054795,2464.107
1983.9506849315069,2463.2043
1983.9534246575342,2462.5369
1983.9561643835616,2462.0398
1983.958904109589,2461.254
1983.9616438356165,2460.8342
1983.964383561644,2461.0088
1983.9671232876713,2460.61
1983.9698630136986,2458.9165
1983.972602739726,2459.5764
1983.9753424657533,2460.4448
1983.978082191781,2460.299
1983.9808219178083,2459.2683
1983.9835616438356,2459.0615
1983.986301369863,2459.5232
1983.9890410958903,2459.2034
1983.9917808219177,2458.8547
1983.9945205479453,2458.6633
1983.9972602739726,2458.3818
1984.0,2457.3047
1984.0027322404371,2447.1
1984.0054644808743,2448.7234
1984.0081967213114,2455.9377
1984.0109289617487,2456.556
1984.0136612021859,2455.8176
1984.016393442623,2455.9758
1984.01912568306,2456.3972
1984.0218579234972,2455.5815
1984.0245901639344,2454.9402
1984.0273224043715,2455.0212
1984.0300546448088,2455.0122
1984.032786885246,2454.224
1984.035519125683,2454.2908
1984.0382513661202,2454.1182
1984.0409836065573,2453.2317
1984.0437158469945,2452.3953
1984.0464480874316,2450.4885
1984.049180327869,2451.266
1984.051912568306,2451.3523
1984.0546448087432,2450.7903
1984.0573770491803,2450.8262
1984.0601092896175,2450.8762
1984.0628415300546,2450.8271
1984.0655737704917,2450.8945
1984.068306010929,2450.09
1984.0710382513662,2450.2327
1984.0737704918033,2450.554
1984.0765027322404,2450.2468
1984.0792349726776,2449.6118
1984.0819672131147,2449.429
1984.0846994535518,2450.3076
1984.0874316939892,2449.6462
1984.0901639344263,2449.194
1984.0928961748634,2448.701
1984.0956284153006,2446.9407
1984.0983606557377,2446.7876
1984.1010928961748,2447.8015
1984.103825136612,2442.6582
1984.1065573770493,2440.7383
1984.1092896174864,2445.612
1984.1120218579235,2446.07
1984.1147540983607,2444.7236
1984.1174863387978,2444.8745
1984.120218579235,2444.9897
1984.122950819672,2444.43
1984.1256830601094,2444.0874
1984.1284153005465,2444.6367
1984.1311475409836,2445.2485
1984.1338797814208,2444.5747
1984.136612021858,2444.3586
1984.139344262295,2443.99
1984.1420765027322,2442.8784
1984.1448087431695,2443.1094
1984.1475409836066,2440.4294
1984.1502732240438,2439.6948
1984.1530054644809,2441.525
1984.155737704918,2440.2634
1984.1584699453551,2434.182
1984.1612021857923,2437.5889
1984.1639344262296,2437.7373
1984.1666666666667,2438.5874
1984.1693989071039,2438.3381
1984.172131147541,2438.0032
1984.1748633879781,2436.5933
1984.1775956284152,2435.5322
1984.1803278688524,2432.3286
1984.1830601092897,2433.066
1984.1857923497269,2436.1455
1984.188524590164,2434.0015
1984.191256830601,2431.8843
1984.1939890710382,2430.6858
1984.1967213114754,2427.104
1984.1994535519125,2431.637
1984.2021857923498,2433.888
1984.204918032787,2432.649
1984.207650273224,2431.8474
1984.2103825136612,2432.749
1984.2131147540983,2432.0881
1984.2158469945355,2425.7678
1984.2185792349726,2422.379
1984.22131147541,2429.9148
1984.224043715847,2431.4001
1984.2267759562842,2430.9153
1984.2295081967213,2430.558
1984.2322404371585,2430.9683
1984.2349726775956,2430.6943
1984.2377049180327,2430.1575
1984.24043715847,2429.5288
1984.2431693989072,2428.3496
1984.2459016393443,2424.686
1984.2486338797814,2424.8982
1984.2513661202186,2427.4556
1984.2540983606557,2427.6863
1984.2568306010928,2427.4026
1984.25956284153,2426.929
1984.2622950819673,2426.5142
1984.2650273224044,2424.641
1984.2677595628415,2415.238
1984.2704918032787,2420.1785
1984.2732240437158,2423.0583
1984.275956284153,2417.1948
1984.27868852459,2419.0466
1984.2814207650274,2422.2183
1984.2841530054645,2421.629
1984.2868852459017,2421.6562
1984.2896174863388,2422.3918
1984.292349726776,2419.2483
1984.295081967213,2418.5847
1984.2978142076502,2420.271
1984.3005464480875,2418.835
1984.3032786885246,2419.0928
1984.3060109289618,2419.5176
1984.308743169399,2418.4905
1984.311475409836,2409.7837
1984.3142076502731,2412.5747
1984.3169398907103,2416.838
1984.3196721311476,2415.5354
1984.3224043715848,2414.1104
1984.3251366120219,2414.4104
1984.327868852459,2413.568
1984.3306010928961,2412.8164
1984.3333333333333,2410.8984
1984.3360655737704,2412.0107
1984.3387978142077,2410.808
1984.3415300546449,2408.1409
1984.344262295082,2408.1362
1984.3469945355191,2408.2546
1984.3497267759562,2405.0867
1984.3524590163934,2404.3186
1984.3551912568305,2402.7559
1984.3579234972678,2400.4802
1984.360655737705,2402.847
1984.363387978142,2405.073
1984.3661202185792,2406.4587
1984.3688524590164,2406.619
1984.3715846994535,2407.2417
1984.3743169398906,2407.169
1984.377049180328,2406.8508
1984.379781420765,2407.1213
1984.3825136612022,2408.0513
1984.3852459016393,2409.4958
1984.3879781420765,2410.856
1984.3907103825136,2411.896
1984.3934426229507,2412.7537
1984.396174863388,2413.278
1984.3989071038252,2413.8447
1984.4016393442623,2414.2974
1984.4043715846994,2414.5762
1984.4071038251366,2415.3945
1984.4098360655737,2415.8035
1984.4125683060108,2416.0767
1984.4153005464482,2416.456
1984.4180327868853,2416.7546
1984.4207650273224,2416.3455
1984.4234972677596,2415.064
1984.4262295081967,2413.4148
1984.4289617486338,2413.9385
1984.431693989071,2413.9573
1984.4344262295083,2414.5537
1984.4371584699454,2414.3625
1984.4398907103825,2413.4817
1984.4426229508197,2414.0105
1984.4453551912568,2414.5164
1984.448087431694,2413.5083
1984.450819672131,2410.6104
1984.4535519125684,2411.3652
1984.4562841530055,2410.6572
1984.4590163934427,2413.8284
1984.4617486338798,2415.083
1984.464480874317,2415.765
1984.467213114754,2416.4392
1984.4699453551912,2417.053
1984.4726775956285,2417.385
1984.4754098360656,2417.7927
1984.4781420765028,2418.4255
1984.48087431694,2418.3772
1984.483606557377,2418.334
1984.4863387978141,2418.9717
1984.4890710382513,2419.571
1984.4918032786886,2420.1255
1984.4945355191257,2420.8938
1984.4972677595629,2421.4912
1984.5,2422.3313
1984.5027322404371,2423.2043
1984.5054644808743,2423.7744
1984.5081967213114,2424.5972
1984.5109289617487,2425.4092
1984.5136612021859,2426.0806
1984.516393442623,2426.7659
1984.51912568306,2427.3552
1984.5218579234972,2427.8586
1984.5245901639344,2428.2776
1984.5273224043715,2428.632
1984.5300546448088,2429.2314
1984.532786885246,2429.8857
1984.535519125683,2430.4048
1984.5382513661202,2430.6267
1984.5409836065573,2431.1677
1984.5437158469945,2432.7185
1984.5464480874316,2433.8833
1984.549180327869,2434.8223
1984.551912568306,2435.4421
1984.5546448087432,2435.7803
1984.5573770491803,2436.5476
1984.5601092896175,2436.9724
1984.5628415300546,2437.375
1984.5655737704917,2438.1365
1984.568306010929,2438.6306
1984.5710382513662,2439.1362
1984.5737704918033,2439.4783
1984.5765027322404,2439.6838
1984.5792349726776,2440.0735
1984.5819672131147,2440.4053
1984.5846994535518,2440.6548
1984.5874316939892,2440.8167
1984.5901639344263,2441.127
1984.5928961748634,2441.3618
1984.5956284153006,2441.711
1984.5983606557377,2441.9077
1984.6010928961748,2442.1963
1984.603825136612,2442.6067
1984.6065573770493,2442.7698
1984.6092896174864,2443.0898
1984.6120218579235,2443.3967
1984.6147540983607,2443.6233
1984.6174863387978,2444.012
1984.620218579235,2444.2935
1984.622950819672,2444.567
1984.6256830601094,2444.9324
1984.6284153005465,2445.1401
1984.6311475409836,2445.5068
1984.6338797814208,2445.8718
1984.636612021858,2446.303
1984.639344262295,2446.6338
1984.6420765027322,2447.0034
1984.6448087431695,2447.3745
1984.6475409836066,2447.7742
1984.6502732240438,2448.0662
1984.6530054644809,2448.3364
1984.655737704918,2448.6077
1984.6584699453551,2449.018
1984.6612021857923,2449.252
1984.6639344262296,2449.6208
1984.6666666666667,2449.9153
1984.6693989071039,2450.2065
1984.672131147541,2450.4517
1984.6748633879781,2450.7861
1984.6775956284152,2451.154
1984.6803278688524,2451.2637
