# year, O3_c
1996.3360655737704,2128.1255
1996.3387978142077,2128.513
1996.3415300546449,2127.5593
1996.344262295082,2125.7874
1996.3469945355191,2124.4722
1996.3497267759562,2124.7156
1996.3524590163934,2123.4976
1996.3551912568305,2124.0332
1996.3579234972678,2124.6665
1996.360655737705,2125.1978
1996.363387978142,2125.4429
1996.3661202185792,2125.6438
1996.3688524590164,2122.8777
1996.3715846994535,2122.5923
1996.3743169398906,2124.424
1996.377049180328,2124.6436
1996.379781420765,2124.6946
1996.3825136612022,2125.5176
1996.3852459016393,2126.3125
1996.3879781420765,2127.156
1996.3907103825136,2128.2153
1996.3934426229507,2129.0896
1996.396174863388,2130.0598
1996.3989071038252,2131.0408
1996.4016393442623,2131.376
1996.4043715846994,2131.5413
1996.4071038251366,2132.0178
1996.4098360655737,2132.4448
1996.4125683060108,2132.8445
1996.4153005464482,2132.973
1996.4180327868853,2133.1594
1996.4207650273224,2133.4482
1996.4234972677596,2133.7556
1996.4262295081967,2133.857
1996.4289617486338,2134.8376
1996.431693989071,2135.7244
1996.4344262295083,2136.3845
1996.4371584699454,2136.6658
1996.4398907103825,2136.4973
1996.4426229508197,2136.6824
1996.4453551912568,2137.1174
1996.448087431694,2137.5967
1996.450819672131,2137.553
1996.4535519125684,2137.7297
1996.4562841530055,2138.202
1996.4590163934427,2138.6655
1996.4617486338798,2138.5618
1996.464480874317,2138.096
1996.467213114754,2138.1108
1996.4699453551912,2138.5916
1996.4726775956285,2138.3025
1996.4754098360656,2137.7966
1996.4781420765028,2138.373
1996.48087431694,2139.0195
1996.483606557377,2139.6091
1996.4863387978141,2139.412
1996.4890710382513,2138.7676
1996.4918032786886,2138.1387
1996.4945355191257,2138.5095
1996.4972677595629,2138.4084
1996.5,2137.3237
1996.5027322404371,2136.7742
1996.5054644808743,2137.0342
1996.5081967213114,2137.0354
1996.5109289617487,2136.7715
1996.5136612021859,2136.8252
1996.516393442623,2137.529
1996.51912568306,2138.217
1996.5218579234972,2136.9695
1996.5245901639344,2135.6826
1996.5273224043715,2137.0989
1996.5300546448088,2137.6765
1996.532786885246,2136.0505
1996.535519125683,2135.9915
1996.5382513661202,2136.9885
1996.5409836065573,2136.8154
1996.5437158469945,2135.9717
1996.5464480874316,2135.9963
1996.549180327869,2135.5798
1996.551912568306,2134.8872
1996.5546448087432,2135.1108
1996.5573770491803,2135.469
1996.5601092896175,2135.45
1996.5628415300546,2135.4805
1996.5655737704917,2135.6143
1996.568306010929,2136.072
1996.5710382513662,2136.5845
1996.5737704918033,2136.3943
1996.5765027322404,2136.499
