# year, O3_pH_anom
2044.2868852459017,-0.1663785
2044.3715846994535,-0.16953373
2044.4535519125684,-0.17068624
2044.5382513661202,-0.177814
2044.622950819672,-0.17855263
2044.704918032787,-0.16654873
2044.7896174863388,-0.15787983
2044.8715846994535,-0.15664768
2044.9562841530055,-0.16681099
2045.041095890411,-0.16588402
2045.1205479452055,-0.16867495
2045.2027397260274,-0.16491795
2045.2849315068493,-0.17376137
2045.3698630136987,-0.17760992
2045.4520547945206,-0.17422438
2045.5369863013698,-0.17739153
2045.6219178082192,-0.18023348
2045.704109589041,-0.17283154
2045.7890410958903,-0.16435814
2045.8712328767124,-0.16889477
2045.9561643835616,-0.18213844
2046.041095890411,-0.18082952
2046.1205479452055,-0.18832016
2046.2027397260274,-0.18903399
2046.2849315068493,-0.18662119
2046.3698630136987,-0.18805647
2046.4520547945206,-0.17614412
2046.5369863013698,-0.17247105
2046.6219178082192,-0.1711731
2046.704109589041,-0.16492367
2046.7890410958903,-0.15903282
2046.8712328767124,-0.16183567
2046.9561643835616,-0.17509937
2047.041095890411,-0.17449284
2047.1205479452055,-0.18217897
2047.2027397260274,-0.18341732
2047.2849315068493,-0.19068098
2047.3698630136987,-0.18907833
2047.4520547945206,-0.18094349
2047.5369863013698,-0.18600512
2047.6219178082192,-0.18899822
2047.704109589041,-0.17838049
2047.7890410958903,-0.16555786
2047.8712328767124,-0.16875458
2047.9561643835616,-0.17744923
2048.0409836065573,-0.17701769
2048.122950819672,-0.17920971
2048.2049180327867,-0.18343687
2048.2868852459014,-0.17788887
2048.3715846994537,-0.17314386
2048.4535519125684,-0.17614555
2048.53825136612,-0.18605232
2048.622950819672,-0.19113779
2048.7049180327867,-0.18277073
2048.789617486339,-0.17319775
2048.8715846994537,-0.17027187
2048.9562841530055,-0.18118668
2049.041095890411,-0.19157314
